company_name,website,hq_location,industry,product_category,funding_round,funding_amount_display,funding_amount,funding_date,lead_investor,other_investors,hiring_signal,careers_page,ceo_name,ceo_linkedin,source_url,has_deep_research,has_email_draft,data_source,notes
Alaffia Health,https://alaffiahealth.com,"New York, NY",,,Series B,$55M,55000000,February 2026,Transformation Capital,,"**Plans to expand from 50 to 100 employees by end of 2026**—explicit doubling commitment. Hiring across engineering, product, and growth teams. Founders TJ Ademiluyi (CEO) and Adun Akanni (COO) noted funds will ""accelerate growth, launch new AI agents and increase R&D."" Currently serves health plans",,TJ Ademiluyi,,,False,False,claude_research,
Resolve AI,https://resolve.ai,"San Francisco, CA",,,Series A,$125M,125000000,February 2026,Lightspeed Venture Partners,,"**10+ open positions** on Glassdoor and Built In including Founding Technical Recruiter, Forward Deployed Engineers, Backend Engineers, AI Engineers, Account Executives, Solutions Engineers. Founders Spiros Xanthos and Mayank Agarwal (ex-Splunk, Omnition co-founders) stated funds will ""expand the en",,Spiros Xanthos and,,,False,False,claude_research,
Pomelo Care,https://pomelocare.com,"New York, NY",,,Series C,$92M,92000000,January 2026,Stripes,,"**46 open positions** on Glassdoor, **12-13 jobs** on Wellfound and ZipRecruiter. Roles include AI/ML Data Scientists, Software Engineers, People Operations, Clinical roles (NPs, CNMs), Outbound Enrollment Specialists, Client Support. Founder Marta Bralic raised total of $179M. Company expanding int",,Marta Bralic raised,,,False,False,claude_research,
Cartesia,https://cartesia.ai,,voice AI / cartesia.ai,"Sonic-3 voice synthesis models, emotion detection",Series A,$100M,100000000,2024-09-12,,"Kleiner Perkins, Index Ventures, Lightspeed,NVIDIA","CEO posting about team expansion, hiring worldwide",https://cartesia.ai/careers,Karan Goel,https://www.linkedin.com/in/krandiash,https://www.linkedin.com/posts/krandiash_weve-raised-100m-from-kleiner-perkins-activity-7388968595499728896-0UJn,False,False,vapicon_research,Real-time multimodal intelligence and voice AI
Wispr (Wispr Flow),https://wisprflow.ai,,Voice AI productivity / dictation,,Series A extension,$25M,25000000,2025-11-19,,,"Raised $25M Series A extension in Nov 2025 (total $81M), 40% MoM growth, 100x YoY, 270+ Fortune 500 accounts, funding earmarked for ML/product hiring.",https://wisprflow.ai,,,https://www.prnewswire.com/news-releases/wispr-raises-25m-to-build-its-voice-operating-system-302621858.html,False,False,perplexity,Serial founder; heavy public narrative on “post-keyboard” future and hiring top ML talent.
When,,"Chicago, IL",,,Series A,$10M,10200000,February 2026,"ManchesterStory, 7wire",,"Will use funds to ""**grow its team and expand its offering**."" Founded by Andy Hamilton and Dan Wertheimer. Investors include B Capital, TTV Capital, Alumni Ventures.",,,,,False,False,claude_research,
Glean,,"Palo Alto, CA",,,Series F,$150M,150000000,Dec 2025,Sequoia,,Doubled ARR to $200M in 9 months; 201-500 employees,,,,,False,False,claude_research,
Flora,https://flora.ai,"Brooklyn, NY",,,Series A,$42M,42000000,January 2026,Redpoint Ventures,,"Funding explicitly earmarked for ""**expansion across sales and engineering**."" Currently 11-50 employees. Co-founders Weber Wong (CEO) and Alex Li building professional-grade editing capabilities. Clients include Pentagram, Lionsgate, MSCHF, AKQA, Levi's. Investors include Vercel CEO Guillermo Rauch",,Weber Wong,,,False,True,claude_research,
Baseten Labs,https://baseten.co,"San Francisco, CA",,,Series E,$300M,300000000,January 2026,"IVP, CapitalG | **$5B valuation**",,"Three funding rounds totaling $525M+ in 12 months indicates massive scaling. Nvidia invested $150M. Platform requires ML engineers, infrastructure engineers, DevOps talent. Supports open-source models with optimized tooling and orchestration.",,,,,False,False,claude_research,
Rain,https://rain.com,"New York, NY",,,Series C,$250M,250000000,January 2026,Iconiq | **$1.95B valuation**,,"Active card base increased **30x** in past year; annualized payment volume surged **38x**. $3B+ in annualized transactions for 200+ companies (Western Union, Nuvei, Kast). Founders Farooq Malik and Charles Yoo-Naut expanding into new markets with heavy need for engineering, compliance, and enterpris",,Farooq Malik and,,,False,False,claude_research,
Tandem,,"New York, NY",,,Series B,$100M,100000000,January 2026,Accel,,Significant capital injection for healthcare automation. Founded by Sahir Jaggi (2023). Series B indicates aggressive scaling phase for sales and engineering.,,,,,False,False,claude_research,
Fieldguide,https://fieldguide.io,"San Francisco, CA",,,Series C,$75M,75000000,February 2026,Goldman Sachs Alternatives,,"Series C capital for scaling professional services automation. AI/ML engineering, audit/compliance domain expertise, sales and customer success roles needed.",,,,,False,False,claude_research,
Chamber Cardio,https://chambercardio.com,"Washington, DC",,,Series A,$60M,60000000,February 2026,Frist Cressey Ventures,,"Press release states funding will ""**continue building Chamber's clinical, operational, and technology teams**."" Co-founders George Aloth (CEO) and Sameer Sheth, M.D. (President/CMO) expanding from 500+ cardiologist network across seven states to national presence.",,George Aloth,,,False,False,claude_research,
Sixfold AI,https://sixfold.ai,"New York, NY",,,Series B,$30M,30000000,January 2026,Brewer Lane Ventures,,"""Expanding research and engineering teams"" and ""advancing AI underwriting with autonomous agents."" Co-founders Alex Schmelkin (CEO), Jane Tran (COO, ex-Unqork), Brian Moseley (CTO, ex-Amex). Processed 1M+ submissions for insurers representing **$265B** in gross written premium. Customers include Zur",,Alex Schmelkin,,,False,False,claude_research,
Vapi,https://www.vapi.ai,,voice AI API / vapi.ai,Real-time voice agent deployment,Series A,$20M,20000000,2024-12-12,,"Bessemer Venture Partners, Abstract Ventures","Active developer scale-up, hiring engineering",https://www.ycombinator.com/companies/vapi,Jordan Dearsley,https://www.linkedin.com/in/jordandearsley,https://www.bvp.com/news/our-investment-in-vapi-the-voice-ai-developer-platform,False,False,vapicon_research,Developer platform for voice AI agents
Plug,https://plugmotors.com,"Santa Monica, CA",,,Series A,$20M,20000000,February 2026,Lightspeed,,"**Expanded leadership team announced** with new board members and hires: Andrew Maddox (head of finance), Alexandra Yorke (head of marketing). Founder Jimmy Douglas using capital to ""expand go-to-market capacity across wholesale and retail channels."" Facilitated $60M+ in used EV sales since 2024 lau",,Jimmy Douglas using,,,False,False,claude_research,
XBuild,https://x.build,"San Francisco, CA",,,Series A,$19M,19000000,January 2026,"N47, Rackhouse Ventures, a16z",,"Funds to ""build the first vibe coding estimating platform for all of construction."" Co-founders Jahan Khanna and Rob Moran (former Uber and Postmates execs) scaling into multiple construction verticals: concrete, landscaping, painting, HVAC, plumbing. 15,000+ projects completed ($250M worth).",,Jahan Khanna and,,,False,False,claude_research,
OTTO SPORT AI,https://ottosport.ai,"Minneapolis, MN",,,Seed,$16M,16500000,January 2026,"Mamba Growth Equity, Rally Ventures",,"Funding will ""**accelerate development across the OTTO SPORT AI product suite**"" and ""expand its AI Lab."" Co-founder Luke Zaientz (CEO) building team from SportsEngine, TeamSnap, NCSA, FloSports veterans. New AI-driven tools rolling out throughout 2026.",,Luke Zaientz,,,False,False,claude_research,
Dazzle AI,,SF Bay Area,,,Seed,$8M,8000000,Dec 2025,Forerunner,,"Marissa Mayer's consumer AI startup; ""expand team"" stated",,,,,False,False,claude_research,
Rime Labs,https://rime.ai,,voice AI / rime.ai,"Realistic AI voices, enterprise voice solutions",Seed,$6M,5500000,2025-05-29,,"Unusual Ventures, Founders Collective","Seed stage scaling, voice team",https://rime.ai/jobs,Lily Clifford,https://www.linkedin.com/pub/dir/Lily/Clifford/us-0-United-States,https://rime.ai/resources/seed,False,False,vapicon_research,AI voice technology enterprise platform
Cashmere,https://www.cashmereai.com,Salt Lake City,UT,AI + data infrastructure,AI-powered client acquisition & rights-managed data infra,,0,5000000,,Reach Capital,Team expansion for product & GTM,https://utah.vc/p/cashmere-secures-5m-seed-round,https://utah.vc/p/cashmere-secures-5m-seed-round,Jonathan Woahn,"Pelion Venture Partners, Peterson Partners, Assure Syndicates, others",False,False,perplexity,
1mind,https://1mind.com,San Francisco,CA,AI for GTM,AI sales agent / AI-led growth platform,,0,30000000,,Battery Ventures,Headcount expansion post-Series A,https://www.thesaasnews.com/news/1mind-raises-30-million-series-a,https://aimmediahouse.com/ai-startups/1mind-raises-30-million-series-a-to-scale-ai-sales-agent-mindy,Amanda Kahlow,"Bain Capital Ventures, Craft Ventures, others",False,False,perplexity,
Fastbreak AI,https://www.fastbreak.ai,Charlotte,NC,Sports tech / SaaS,AI scheduling and operations for sports leagues,,0,40000000,,Greycroft,"Scaling product, ops and GTM",https://www.prnewswire.com/news-releases/fastbreak-ai-raises-40-million-series-a-to-fuel-expansion-across-pro-and-amateur-sports-301989958.html,https://www.prnewswire.com/news-releases/fastbreak-ai-raises-40-million-series-a-to-fuel-expansion-across-pro-and-amateur-sports-301989958.html,Alex Pastor,GTMfund and other sports/tech investors,False,False,perplexity,
Giga,https://giga.ai,San Francisco,CA,AI customer support,Emotionally intelligent AI support agents,,0,61000000,,Redpoint Ventures,Scaling engineering and GTM teams,https://finance.yahoo.com/news/giga-raises-61m-funding-reinvent-171500172.html,https://finance.yahoo.com/news/giga-raises-61m-funding-reinvent-171500172.html,(CEO not clearly disclosed in PR),"Y Combinator, Nexus Venture Partners, others",False,False,perplexity,
Metropolis Technologies,https://www.metropolis.io,Santa Monica / Los Angeles,CA,AI + physical commerce,AI-powered checkout-free parking & physical commerce network,,0,500000000,5000000000,"Eldridge, 3L Capital (debt led by Eldridge)",Massive post-raise hiring across functions,https://www.reuters.com/business/media-telecom/softbank-backed-metropolis-raises-16-bln-expand-beyond-ai-powered-parking-lots-2025-11-06/,https://job-boards.greenhouse.io/metropolis,Alex Israel,"Kindred, Dragoneer, Slow Ventures, A16Z, others",False,False,perplexity,
CHAOS Industries,https://www.chaosinc.com,Los Angeles,CA,Defense tech / AI sensing,Coherent Distributed Networks radar & sensing systems,,0,510000000,4500000000,Valor Equity Partners,Expanding R&D and manufacturing,https://www.businesswire.com/news/home/20251113579391/en/CHAOS-Industries-Raises-$510-Million-Led-by-Valor-Equity-Partners-to-Accelerate-Next-Generation-Defense-Systems,https://www.businesswire.com/news/home/20251113579391/en/CHAOS-Industries-Raises-$510-Million-Led-by-Valor-Equity-Partners-to-Accelerate-Next-Generation-Defense-Systems,(CEO not specified in PR),"XYZ Capital, other strategics",False,False,perplexity,
Fiddler AI,https://www.fiddler.ai,Palo Alto,CA,AI observability / security,AI observability platform & control plane for models/agents,,0,30000000,,RPS Ventures,Broad hiring across eng + GTM,https://www.businesswire.com/news/home/20260127042634/en/Fiddler-Raises-$30M-Series-C-to-Power-the-Control-Plane-for-AI-Agents,https://www.businesswire.com/news/home/20260127042634/en/Fiddler-Raises-$30M-Series-C-to-Power-the-Control-Plane-for-AI-Agents,Krishnaram Kenthapadi (CEO),"Lightspeed, Lux Capital, Insight Partners, Capgemini Ventures, Dallas VC, Dentsu Ventures, Mozilla Ventures, LG Tech Ventures, Benhamou Global Ventures",False,False,perplexity,https://www.fiddler.ai/careers
Saviynt,,"El Segundo, CA",,,Series B,$700M,700000000,Dec 2025,KKR,,Largest identity security round ever; $3B valuation,,,,,False,False,claude_research,
Etched,https://etched.com,"San Jose, CA",,,,$500M,500000000,January 2026,Stripes | **$5B valuation**,,"Funds for ""chip design, fabrication partnerships, and AI accelerator development."" Peter Thiel among investors. Hardware startups hire chip designers, ML systems engineers, verification engineers at scale.",,,,,False,False,claude_research,
Unconventional AI,,US,,,Seed,$475M,475000000,Dec 2025,"a16z, Lightspeed",,Brain-inspired AI computing; $4.5B valuation,,,,,False,False,claude_research,
Skyryse,https://skyryse.com,US-based,,,Series C,$300M,300000000,February 2026,"Autopilot Ventures, Fidelity | **$1.15B valuation**",,"Will use funding to ""accelerate FAA certification and bring SkyOS to more aircraft."" Seeking FAA approval for Skyryse One in 2026. Significant regulatory and engineering expansion needed.",,,,,False,False,claude_research,
Function Health,,"Austin, TX",,,Series B,$298M,298000000,Nov 2025,Redpoint,,Longevity/lab tests; $2.5B valuation,,,,,False,False,claude_research,
OpenEvidence,,US,,,Growth,$250M,250000000,Jan 2026,"Thrive, DST",,AI for physicians; $12B valuation; 10x increase in <1 year,,,,,False,False,claude_research,
Suno Inc.,,Massachusetts,,,Series C,$250M,250000000,Nov 2025,"Menlo, Nvidia",,AI music generation; $2.45B valuation,,,,,False,False,claude_research,
Modular,,"San Jose, CA",,,Series B,$220M,220000000,,,,**,,,,,False,False,genspark,
JetZero,https://jetzero.aero,"Long Beach, CA",,,Series B,$175M,175000000,January 2026,B Capital,,"Funding will ""accelerate development"" of full-size Demonstrator prototype. Co-founders Tom O'Leary (CEO) and Mark Page (aerospace legend). Strategic investors include United Airlines Ventures, Northrop Grumman, 3M Ventures, RTX Ventures. Total raised $1B+ including government grants. First flight 20",,Tom O,,,False,False,claude_research,
Perplexity,,"San Francisco, CA",,,Series C,$175M,175000000,,,,**,,,,,False,False,genspark,
PaleBlueDot AI,https://palebluedot.ai,San Francisco Bay Area,AI infrastructure,"AI compute / ""neocloud"" GPU cloud",Series B,$150M,150000000,2026-01-28,B Capital,"Sequoia Capital, Lightspeed Venture Partners, Coatue, others",Funding will be used to scale the AI compute platform globally and attract technical talent for platform engineering and AI Cloud offerings.,https://palebluedot.ai/#careers,(Not disclosed in PR),,https://finance.yahoo.com/news/palebluedot-ai-raises-150m-series-150000888.html,False,False,perplexity,
Curative,,"Austin, TX",,,Series B,$150M,150000000,Dec 2025,Upside Vision,,Free out-of-pocket health plan; $1.27B valuation,,,,,False,False,claude_research,
Runway,,"New York, NY",,,Series D,$141M,141000000,,,,**,,,,,False,False,genspark,
Anthropic,,"San Francisco, CA",,,Strategic,$140M,140000000,,,,**,,,,,False,False,genspark,
Angle Health,,"San Francisco, CA",,,Series B,$134M,134000000,Dec 2025,Portage Ventures,,AI platform for healthcare benefits,,,,,False,False,claude_research,
Character.AI,,"San Francisco, CA",,,Series B,$132M,132000000,,,,**,,,,,False,False,genspark,
