company_name,website,hq_location,industry,product_category,funding_round,funding_amount_display,funding_amount,funding_date,lead_investor,other_investors,hiring_signal,careers_page,ceo_name,ceo_linkedin,source_url,has_deep_research,has_email_draft,data_source,notes
Deepgram,https://deepgram.com,,voice AI / deepgram.com,Real-time API platform for voice AI,Series B,$130M,130000000,2026-01-13,$1300000000,AVP,200+,"35+ open positions, active on multiple job boards",https://jobs.ashbyhq.com/Deepgram,Scott Stephenson,"$50B+ voice AI market, 1300+ customers",False,True,vapicon_research,Alkeon In-Q-Tel Madrona Tiger Wing Y Combinator Alumni Ventures Princeville Twilio ServiceNow SAP Citi
7AI,,"Boston, MA",,,Series A,$130M,130000000,Dec 2025,Index Ventures,,AI agents for security; 10 months since stealth launch,,,,,False,False,claude_research,
Valar Atomics,,"Hawthorne, CA",,,Series A,$130M,130000000,Nov 2025,Palmer Luckey et al.,,"Nuclear reactor gigasites; ""advance reactor design""",,,,,False,False,claude_research,
Kindred,,"San Francisco, CA",,,Series B+C,$125M,125000000,Feb 2026,"NEA, Index",,Home-swapping network; 300K members,,,,,False,False,claude_research,
Varo Bank,,"San Francisco, CA",,,Growth,$124M,123900000,Feb 2026,Multiple,,All-digital chartered bank,,,,,False,False,claude_research,
MindsDB,,"Berkeley, CA",,,Series C,$120M,120000000,,,,**,,,,,False,False,genspark,
Lyte AI,https://lyte.ai,"Mountain View, CA",,,Series A,$107M,107000000,February 2026,Sequoia Capital,,"Funding will ""**scale product development and hire for its Boston-based team**."" Founded by HubSpot veterans. AI/ML engineers for agent development, sales automation specialists, enterprise software engineers all needed.",,,,,False,False,claude_research,
Antithesis,,"Tysons Corner, VA",,,Series A,$105M,105000000,Dec 2025,Jane Street,,Simulation testing for software,,,,,False,False,claude_research,
Parallel,,US,,,Series A,$100M,100000000,Nov 2025,"Index, Kleiner",,Web infrastructure for AI agents,,,,,False,False,claude_research,
Cambium,,"El Segundo, CA",,,Series B,$100M,100000000,Jan 2026,8VC,,Advanced materials for defense/aerospace,,,,,False,False,claude_research,
Harvey,,"San Francisco, CA",,,Series C,$100M,100000000,,,,**,,,,,False,False,genspark,
Copy.AI,,"Boston, MA",,,Series C,$98M,98000000,,,,**,,,,,False,False,genspark,
Jasper,,"Austin, TX",,,Series C,$95M,95000000,,,,**,,,,,False,False,genspark,
Type One Energy,,Wisconsin,,,Conv. Note,$87M,87000000,Jan 2026,Breakthrough Energy,,Nuclear fusion; pursuing $250M Series B,,,,,False,False,claude_research,
Adaptive Security,,"New York, NY",,,Series B,$81M,81000000,Dec 2025,Bain Capital,,Deepfake attack simulations; OpenAI Startup Fund invested,,,,,False,False,claude_research,
Mesh (crypto),,"San Francisco, CA",,,Series C,$75M,75000000,Jan 2026,Dragonfly,,Crypto payment processing; $1B valuation,,,,,False,False,claude_research,
Model ML,,"New York, NY",,,Series A,$75M,75000000,Nov 2025,MFO Ventures,,AI tools for finance deal processing,,,,,False,False,claude_research,
Gradium,,US,,,Seed,$70M,70000000,Dec 2025,Deep tech VCs,,Ultra-low-latency voice AI,,,,,False,False,claude_research,
Ares Interactive,,"San Francisco, CA",,,Series A,$70M,70000000,Feb 2026,Multiple,,Game development studio,,,,,False,False,claude_research,
Gamma,,"San Francisco, CA",,,Series B,$68M,68000000,Nov 2025,Multiple,,AI presentations; $2.1B valuation,,,,,False,False,claude_research,
Cubby Storage,,"New York, NY",,,Series A,$63M,63000000,Jan 2026,Goldman Sachs,,Property management for storage,,,,,False,False,claude_research,
Medra,https://www.medra.ai,,Physical AI / lab robotics,,Series A,$52M,52000000,2025-12-10,,,https://finance.yahoo.com/news/medra-raises-52-million-series-130000298.html; https://siliconangle.com/2025/12/10/medra-developer-ai-powered-lab-robots-scientists-advance-drug-discovery-raises-52m/; https://hlth.com/insights/news/medra-raises-52m-partners-with-genentech-2025-12-15,funding + partnership,,,https://finance.yahoo.com/news/medra-raises-52-million-series-130000298.html,False,False,perplexity,
Arbiter,,"New York, NY",,,Seed,$52M,52000000,Nov 2025,"QED, YC",,AI healthcare orchestration; founded 2025,,,,,False,False,claude_research,
Numeric,,"San Francisco, CA",,,Series B,$51M,51000000,Nov 2025,IVP,,"AI accounting automation; ""scale product and enterprise GTM""",,,,,False,False,claude_research,
Hume AI,https://www.hume.ai,,emotional AI / hume.ai,"Empathic Voice Interface, emotional analysis",Series B,$50M,50000000,2024-03-12,,"EQT Ventures, Union Square Ventures","Strong product focus, recent $50M funding",https://www.hume.ai/careers,Alan Cowen,https://www.linkedin.com/in/alan-cowen,https://www.hume.ai/blog/series-b-evi-announcement,False,False,vapicon_research,Emotionally intelligent voice AI platform
Adaption Labs,,US,,,Seed,$50M,50000000,Feb 2026,Undisclosed,,Large seed for adaptive AI models,,,,,False,False,claude_research,
Runware,,US,,,Series A,$50M,50000000,Late 2025,Dawn Capital,,Single API for 2M+ AI models,,,,,False,True,claude_research,
Nanit,,"New York, NY",,,Growth,$50M,50000000,Jan 2026,Springcoast Partners,,Smart baby monitors with AI,,,,,False,False,claude_research,
Maybern,,"New York, NY",,,Series B,$50M,50000000,Nov 2025,"Khosla, Bezos",,Fund operations for private capital,,,,,False,False,claude_research,
Duetti,,"New York, NY",,,Series C,$50M,50000000,Jan 2026,Raine Group,,Financing platform for independent artists,,,,,False,False,claude_research,
RapidFort,,"Palo Alto, CA",,,Series A,$42M,42000000,Feb 2026,"Blue Cloud, Forgepoint",,"""Scale sales and partnerships""; Fortune 500 customers",,,,,False,False,claude_research,
Agentio,,"New York, NY",,,Series B,$40M,40000000,Nov 2025,Forerunner,,AI-native advertising for creators,,,,,False,False,claude_research,
Orion Security,,"New York, NY",,,Series A,$32M,32000000,Feb 2026,Norwest,,AI-driven contextual data security,,,,,False,False,claude_research,
Bedrock Data,,US,,,Series A,$25M,25000000,Dec 2025,Greylock,,"DSPM at scale; ""accelerate product and go-to-market""",,,,,False,False,claude_research,
Checkbox,,,,,Series A,$23M,23000000,,,,[If mentioned],,,,,False,True,genspark,
Linq,,US,,,Series A,$20M,20000000,Feb 2026,TQ Ventures,,"""Twilio of AI messaging"" for agents",,,,,False,True,claude_research,
Prime Security,,"New York, NY",,,Series A,$20M,20000000,Dec 2025,Scale Venture Partners,,"""Agentic Security Architect""; PayPal, Qualtrics customers",,,,,False,False,claude_research,
Kasada,,"New York, NY",,,Growth,$20M,20000000,Feb 2026,EQT,,Bot attack and fraud prevention,,,,,False,False,claude_research,
Mia Labs,,"Austin, TX",,,Series A,$20M,20000000,Jan 2026,Permanent Capital,,AI for automotive dealerships,,,,,False,False,claude_research,
Gladia,https://www.gladia.io,,audio transcription / gladia.io,"Real-time audio processing, speech-to-text",Series A,$16M,16000000,2024-10-15,,"XAnge, multiple investors","Moving to NYC, building global team",https://www.gladia.io/careers,Jean-Louis Quéguiner,https://www.linkedin.com/in/jlqueguiner,https://www.gladia.io/blog/road-to-real-time-audio-ai-series-a,False,False,vapicon_research,Multilingual real-time transcription API
EnFi,,"Boston, MA",,,Series A,$15M,15000000,Feb 2026,Fintop,,AI credit analysts for regional banks,,,,,False,False,claude_research,
Multifactor,,"San Francisco, CA",,,Seed,$15M,15000000,Dec 2025,"Nexus, YC",,YC Fall 2025 cohort,,,,,False,False,claude_research,
SkyFi,,"Austin, TX",,,Series A,$13M,12700000,Jan 2026,"Buoyant, IronGate",,"Satellite imagery; ""accelerate product development""",,,,,False,True,claude_research,
Mesh Security,,"Palo Alto, CA",,,Series A,$12M,12000000,Jan 2026,Lobby Capital,,Cybersecurity mesh platform,,,,,False,False,claude_research,
Concourse,,"New York, NY",,,Series A,$12M,12000000,Jan 2026,Standard Capital,,AI agents for financial analysis,,,,,False,False,claude_research,
Lemon Slice,,US,,,Seed,$10M,10500000,Dec 2025,"Matrix, YC",,"Digital avatars; ""plans to hire engineering and go-to-market staff""",,,,,False,False,claude_research,
Whetstone Research,,"New York, NY",,,Seed,$9M,9000000,Feb 2026,Pantera Capital,,On-chain price discovery,,,,,False,False,claude_research,
Kilo Code,,US,,,Seed,$8M,8000000,Early 2026,Cota Capital,,"750K+ downloads; building ""all-in-one agentic platform""",,,,,False,False,claude_research,
Graici,,"Cleveland, OH",,,Series A,$8M,7500000,Feb 2026,Santé Ventures,,AI-powered Medicaid renewal platform,,,,,False,False,claude_research,
Derapi,,"San Francisco, CA",,,Seed,$7M,7000000,Feb 2026,Earthshot Ventures,,Grid software for energy/utilities,,,,,False,False,claude_research,
Cellens,,"Boston, MA",,,Seed,$6M,6500000,Jan 2026,"SOSV, Labcorp",,AI bladder cancer detection,,,,,False,False,claude_research,
Transition Metal Solutions,,"Berkeley, CA",,,Seed,$6M,6500000,Jan 2026,Transition Ventures,,Climate tech; copper extraction from mining waste,,,,,False,False,claude_research,
Cork Protocol,,"New York, NY",,,Seed,$6M,5500000,Jan 2026,"Road, a16z crypto",,Tokenized risk infrastructure,,,,,False,False,claude_research,
Tesoro XP,,"Austin, TX",,,Seed,$5M,5400000,Jan 2026,"Treasury, TK MediaTech",,Retail-funded rewards for gaming,,,,,False,False,claude_research,
Formulary Financial,,"New York, NY",,,Seed,$5M,4600000,Jan 2026,Khosla Ventures,,AI-powered fund administration,,,,,False,False,claude_research,
Claim Health,,"New York, NY",,,Seed,$4M,4400000,Jan 2026,Maverick Ventures,,AI revenue ops for post-acute care,,,,,False,False,claude_research,
beHuman,,"Miami, FL",,,Seed,$4M,4000000,Feb 2026,Santé Ventures,,AI cancer detection for underserved populations,,,,,False,False,claude_research,
Ciphero,,"New York, NY",,,Pre-Seed,$2M,2500000,Jan 2026,"Sovereign's, Chingona",,AI verification layer; ex-Fakespot founders,,,,,False,False,claude_research,
15 companies have open source contributions\n,,,,,,$22,22,,,,content\n\n---\n\n## 📈 DATABASE COMPLETION SUMMARY\n\n### TOTAL FOUNDER PROFILES EXTRACTED: 267 Founders\nBreaking down across all 78 companies:\n\n| Role | Count | Email Verified | Social Verified |\n|----------|-----------|-------------------|-------------------|\n| CEO/Co-founder | 78 | 76 (97%) ,,PROFILES EXTRACTED: 267 Founders\nBreaking down across all 7,,,False,False,genspark,
Up to 2,,,,,,$3,3,,,,- Public speaking or content creation,,,,,False,False,genspark,
AirOps,https://www.airops.com,New York,NY & San Francisco,CA,Martech / AI content,,0,Series B,USD,225000000,10-20,"Uncork Capital, Founder Collective, other seed backers",Company calls itself in hyper-growth with 5x revenue year-over-year; PR and job posts show active hiring for Content Engineers and GTM roles.,https://www.airops.com/careers,Greylock,False,False,perplexity,
Majestic Labs,https://majesticlabs.ai,Los Altos,CA & Tel Aviv,Israel,AI hardware / infra,,0,Series A,USD,>1000000000,10-20,"Lux Capital, Eclipse, private investors","PR states that new funding will be used to expand its team of AI, silicon and systems experts to build memory-dense AI servers.",https://finance.yahoo.com/news/led-ex-google-meta-executives-140000914.html,Bow Wave Capital,False,False,perplexity,
302677666 = Arbor ✅,,,,,,$303M,302675822,,,,,,,,,False,False,genspark,
302674621 = VulcanForms ✅,,,,,,$303M,302672708,,,,,,,,,False,False,genspark,
302672523 = A47 ✅,,,,,,$303M,302670061,,,,,,,,,False,False,genspark,
302670029 = Mine ✅,,,,,,$303M,302666328,,,,,,,,,False,False,genspark,
302665890 = Preply ✅,,,,,,$303M,302664752,,,,,,,,,False,False,genspark,
302663447 = Fleetzero ✅,,,,,,$303M,302660632,,,,,,,,,False,False,genspark,
302659319 = WitnessAI ✅,,,,,,$303M,302646010,,,,,,,,,False,False,genspark,
Perplexity - AI Search,,,,,Series C,$175M,175000000,,,,,,,,,False,False,genspark,
Runway - AI Video,,,,,Series D,$141M,141000000,,,,,,,,,False,False,genspark,
Anthropic - AI Safety,,,,,,$140M,140000000,,,,,,,,,False,False,genspark,
Character.AI - Conversational AI,,,,,Series B,$132M,132000000,,,,,,,,,False,False,genspark,
Harvey - Legal AI,,,,,Series C,$100M,100000000,,,,,,,,,False,False,genspark,
19%)\n- Deepgram - Voice AI,,,,,Series C,$100M,100000000,,,,,,,,,False,False,genspark,
17%)\n- Boston: Copy.AI - AI Marketing,,,,,Series C,$98M,98000000,,,,,,,,,False,False,genspark,
Synthesia,,London (note: non-US but research),,,Series C,$90M,90000000,,,,,,,,,False,False,genspark,
Tome - Presentations AI,,,,,Series B,$85M,85000000,,,,,,,,,False,False,genspark,
Snorkel AI - Data Programming,,,,,Series C,$85M,85000000,,,,,,,,,False,False,genspark,
Tome,,"San Francisco, CA",,,Series B,$85M,85000000,,,,,,,,,False,False,genspark,
Snorkel AI,,"Palo Alto, CA",,,Series C,$85M,85000000,,,,,,,,,False,False,genspark,
Nanonets,,"San Francisco, CA",,,Series C,$82M,82000000,,,,,,PROFILES:**,,,False,False,genspark,
Moveworks - IT Automation,,,,,Series C,$80M,80000000,,,,,,,,,False,False,genspark,
Moveworks,,"Mountain View, CA",,,Series C,$80M,80000000,,,,,,PROFILES:**,,,False,False,genspark,
Pachyderm - Data Infrastructure,,,,,Series C,$78M,78000000,,,,,,,,,False,False,genspark,
Pachyderm,,"San Francisco, CA",,,Series C,$78M,78000000,,,,,,PROFILES:**,,,False,False,genspark,
Labelbox,,"San Francisco, CA",,,Series C,$75M,75000000,,,,,,PROFILES:**,,,False,False,genspark,
Weights & Biases,,"San Francisco, CA",,,Series C,$75M,75000000,,,,,,PROFILES:**,,,False,False,genspark,
Landing AI - Computer Vision,,,,,Series B,$70M,70000000,,,,,,,,,False,False,genspark,
Landing AI,,"Palo Alto, CA",,,Series B,$70M,70000000,,,,,,PROFILES:**,,,False,False,genspark,
Octane AI - Conversational AI,,,,,Series B,$68M,68000000,,,,,,,,,False,False,genspark,
Octane AI,,"San Francisco, CA",,,Series B,$68M,68000000,,,,,,PROFILES:**,,,False,False,genspark,
Rasa - Conversational AI,,,,,Series C,$65M,65000000,,,,,,,,,False,False,genspark,
Rasa,,"San Francisco, CA",,,Series C,$65M,65000000,,,,,,PROFILES:**,,,False,False,genspark,
H2O.ai - AutoML Platform,,,,,Series D,$62M,62000000,,,,,,,,,False,False,genspark,
H2O.ai,,"Mountain View, CA",,,Series D,$62M,62000000,,,,,,PROFILES:**,,,False,False,genspark,
Comet - ML Experimentation,,,,,Series C,$60M,60000000,,,,,,,,,False,False,genspark,
Comet,,"New York, NY",,,Series C,$60M,60000000,,,,,,PROFILES:**,,,False,False,genspark,
Fiddler - AI Monitoring,,,,,Series C,$58M,58000000,,,,,,,,,False,False,genspark,
Fiddler,,"Palo Alto, CA",,,Series C,$58M,58000000,,,,,,PROFILES:**,,,False,False,genspark,
K Health - Health AI,,,,,Series C,$50M,50000000,,,,,,,,,False,False,genspark,
Jetson,,"Verify: Jan 20, 2026",,,Series A,$50M,50000000,,,,,,,,,False,True,genspark,
GrubMarket,,,,,Series H,$50M,50000000,,,,,,,,,False,True,genspark,
K Health,,"New York, NY",,,Series C,$50M,50000000,,,,,,PROFILES:**,,,False,False,genspark,
HOLYWATER,,"Verify: Jan 15, 2026",,,Series A,$22M,22000000,,,,,,,,,False,True,genspark,
Chamelio,,"Verify: Jan 27, 2026",,,Seed,$10M,10000000,,,,,,,,,False,True,genspark,
Furl,,"Verify: Jan 21, 2026",,,Seed,$10M,10000000,,,,,,,,,False,True,genspark,
Arbor,,Verify recency,,,Series A,$6M,6300000,,,,,,,,,True,True,genspark,
BizTrip AI,,"Verify: Feb 2, 2026",,,Seed,$2M,1500000,,,,,,,,,False,False,genspark,
200+ conference speaking engagements (ongoing,,,,,,$2K,2025,,,,,,,,,False,False,genspark,
150+ technical publications and research papers\n,,,,,,$85,85,,,,,,,,,False,False,genspark,
"San Francisco, CA (Apr 29",,,,,,$30,30,,,,,,,,,False,False,genspark,
"Fort Lauderdale, FL (Jul 23",,,,,,$29,29,,,,,,,,,False,False,genspark,
"San Francisco, CA (Jun 24",,,,,,$27,27,,,,,,,,,False,False,genspark,
"San Francisco, CA (Jun 23",,,,,,$26,26,,,,,,,,,False,False,genspark,
"San Diego, CA (Dec 14",,,,,,$20,20,,,,,,,,,False,False,genspark,
"Las Vegas, NV (Aug 11",,,,,,$15,15,,,,,,,,,False,False,genspark,
"San Diego, CA (Feb 11",,,,,,$13,13,,,,,,,,,False,False,genspark,
May 4,,,,,,$8,8,,,,,,,,,False,False,genspark,
May 6,,,,,,$7,7,,,,,,,,,False,False,genspark,
"Las Vegas, NV (Dec 1",,,,,,$5,5,,,,,,,,,False,False,genspark,
Extract at minimum 3,,,,,,$5,5,,,,,,contact details.,,,False,False,genspark,
"Speaker Lists & Sponsor Extraction"", ""project_id"": ""f3f63c64",,,,,,$1,1,,,,,,,,,False,False,genspark,
Total companies in CSV: {len(csv_data),,,,,,$1,1,,,,,,,,,False,False,genspark,
